project, status, reproducibleVariants, nonReproducibleVariants, stars
github.com/jinzhu/inflection, Fully Reproducible, ['all'], [], 411
github.com/go-chi/chi, Fully Reproducible, ['all'], [], 14455
github.com/lucas-clemente/quic-go, Fully Reproducible, ['all'], [], 8422
github.com/miekg/dns, Fully Reproducible, ['all'], [], 7085
k8s.io/client-go, Fully Reproducible, ['all'], [], 6751
github.com/otiai10/copy, Fully Reproducible, ['all'], [], 564
github.com/go-telegram-bot-api/telegram-bot-api, Fully Reproducible, ['all'], [], 4696
github.com/buger/jsonparser, Fully Reproducible, ['all'], [], 4892
github.com/vishvananda/netlink, Fully Reproducible, ['all'], [], 2368
github.com/go-openapi/jsonpointer, Fully Reproducible, ['all'], [], 26
github.com/go-logr/logr, Fully Reproducible, ['all'], [], 951
google.golang.org/api, Fully Reproducible, ['all'], [], 3501
github.com/satori/go.uuid, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 4648
gopkg.in/go-playground/validator.v8, Fully Reproducible, ['all'], [], 13432
github.com/andybalholm/cascadia, Fully Reproducible, ['all'], [], 602
github.com/tidwall/pretty, Fully Reproducible, ['all'], [], 287
github.com/deckarep/golang-set, Fully Reproducible, ['all'], [], 3191
github.com/grpc-ecosystem/grpc-gateway, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 15635
github.com/ory/dockertest, Fully Reproducible, ['all'], [], 3527
github.com/nats-io/gnatsd, Fully Reproducible, ['all'], [], 12992
github.com/googleapis/gax-go/v2, Fully Reproducible, ['all'], [], 165
github.com/envoyproxy/protoc-gen-validate, Fully Reproducible, ['all'], [], 3324
github.com/xeipuuv/gojsonschema, Fully Reproducible, ['all'], [], 1857
github.com/gosimple/slug, Fully Reproducible, ['all'], [], 952
github.com/go-redis/redis, Fully Reproducible, ['all'], [], 17472
github.com/imdario/mergo, Fully Reproducible, ['all'], [], 2491
github.com/hashicorp/memberlist, Fully Reproducible, ['all'], [], 2992
github.com/blang/semver, Fully Reproducible, ['all'], [], 880
github.com/beevik/etree, Fully Reproducible, ['all'], [], 1082
github.com/antchfx/xpath, Fully Reproducible, ['all'], [], 548
github.com/cloudflare/cfssl, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 7718
github.com/docker/go-units, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 154
github.com/securego/gosec, Fully Reproducible, ['all'], [], 6943
github.com/fatih/color, Fully Reproducible, ['all'], [], 6162
github.com/aliyun/aliyun-oss-go-sdk, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 859
gopkg.in/yaml.v2, Partially Reproducible, ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 6301
github.com/hashicorp/go-sockaddr, Fully Reproducible, ['all'], [], 217
go.etcd.io/etcd/client/v3, Fully Reproducible, ['all'], [], 43902
github.com/oklog/run, Fully Reproducible, ['all'], [], 1319
github.com/shirou/gopsutil, Fully Reproducible, ['all'], [], 9200
github.com/prometheus/common, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 235
github.com/swaggo/gin-swagger, Fully Reproducible, ['all'], [], 3040
github.com/go-playground/validator/v10, Fully Reproducible, ['all'], [], 13432
github.com/jinzhu/now, Fully Reproducible, ['all'], [], 3985
github.com/casbin/casbin, Fully Reproducible, ['all'], [], 15092
github.com/allegro/bigcache, Fully Reproducible, ['all'], [], 6601
github.com/go-kit/kit, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 25159
github.com/mdlayher/netlink, Fully Reproducible, ['all'], [], 792
github.com/natefinch/lumberjack, Fully Reproducible, ['all'], [], 4132
go.uber.org/multierr, Fully Reproducible, ['all'], [], 781
github.com/goreleaser/goreleaser, Fully Reproducible, ['all'], [], 11841
github.com/nats-io/nats.go, Fully Reproducible, ['all'], [], 4621
gopkg.in/check.v1, Fully Reproducible, ['all'], [], 665
github.com/hashicorp/go-getter, Fully Reproducible, ['all'], [], 1468
github.com/mgechev/revive, Fully Reproducible, ['all'], [], 4209
github.com/micro/go-micro, Fully Reproducible, ['all'], [], 20624
github.com/coreos/etcd, Fully Reproducible, ['all'], [], 43902
github.com/godbus/dbus, Fully Reproducible, ['all'], [], 862
